Project_ID,Project_Name,Site_Location,Contractor_Name,Supplier_Name,Material_Category,Material_Description,PO_Number,PO_Date,Requested_Date,Delivery_Date,Quantity,Unit_Cost,Total_Cost,Budgeted_Cost,Cost_Variance,Cost_Variance_Pct,Currency,Lead_Time_Days,Risk_Level,Buyer
PRJ1772,Office Building F,Athens,Apex Construction Group,Helios Logistics Services,Electrical,Electrical panels,PO200000,2023-04-13,2023-03-21,2023-05-04,78,185.85,14496.3,13516.63,979.67,7.25,EUR,44,Medium,Buyer D
PRJ1306,Industrial Warehouse D,Athens,Orion Build Partners,Omega HVAC Equipment,Safety Equipment,Safety barriers,PO200001,2024-03-11,2024-03-02,2024-05-26,154,66.83,10291.82,11314.94,-1023.12,-9.04,EUR,85,Medium,Buyer B
PRJ1910,Commercial Complex B,Patras,Atlas Engineering Contractors,Nordic Timber Solutions,Electrical,Electrical panels,PO200002,2023-09-28,2023-09-09,2023-11-28,112,376.77,42198.24,45801.99,-3603.75,-7.87,EUR,80,Medium,Buyer D
PRJ1994,Industrial Warehouse D,Athens,Apex Construction Group,Helios Logistics Services,Plumbing,Water fittings,PO200003,2023-04-17,2023-03-28,2023-05-29,98,202.49,19844.02,17409.17,2434.85,13.99,EUR,62,High,Buyer D
PRJ1785,Industrial Warehouse D,Heraklion,Delta Infrastructure Services,Beta Steel Trading,Timber,Formwork timber,PO200004,2023-03-13,2023-02-22,2023-05-07,133,208.15,27683.95,30525.08,-2841.13,-9.31,EUR,74,Medium,Buyer A
PRJ1183,Hotel Renovation C,Volos,Orion Build Partners,Helios Logistics Services,Steel,Rebar steel,PO200005,2024-12-01,2024-11-18,2025-02-20,43,546.54,23501.22,20884.69,2616.53,12.53,EUR,94,High,Buyer C
PRJ1789,Metro Station Upgrade E,Thessaloniki,Orion Build Partners,Beta Steel Trading,Logistics,Material transport,PO200006,2023-01-21,2022-12-23,2023-04-02,93,1962.55,182517.15,167396.47,15120.68,9.03,EUR,100,High,Buyer B
PRJ1078,Commercial Complex B,Larissa,Atlas Engineering Contractors,Alpha Cement Supplies,HVAC,Ventilation ducts,PO200007,2024-09-06,2024-09-03,2024-11-19,133,2010.33,267373.89,256486.68,10887.21,4.24,EUR,77,Medium,Buyer A
PRJ1008,Residential Tower A,Patras,Delta Infrastructure Services,Delta Plumbing Materials,Safety Equipment,Protective gloves,PO200008,2023-05-02,2023-04-19,2023-07-01,319,48.88,15592.72,17315.56,-1722.84,-9.95,EUR,73,Medium,Buyer C
PRJ1365,Commercial Complex B,Volos,Atlas Engineering Contractors,Helios Logistics Services,Safety Equipment,Protective gloves,PO200009,2024-04-11,2024-03-18,2024-06-10,14,81.23,1137.22,1124.44,12.78,1.14,EUR,84,Medium,Buyer C
PRJ1739,Hotel Renovation C,Athens,Delta Infrastructure Services,Delta Plumbing Materials,Electrical,Electrical panels,PO200010,2023-08-03,2023-07-18,2023-08-30,363,404.24,146739.12,144424.12,2315.0,1.6,EUR,43,Low,Buyer C
PRJ1212,Residential Tower A,Heraklion,Helios Civil Works,Gamma Electrical Systems,Concrete,Ready-mix concrete,PO200011,2023-11-27,2023-11-18,2023-12-18,86,88.42,7604.12,8495.0,-890.88,-10.49,EUR,30,Low,Buyer A
PRJ1613,Office Building F,Heraklion,Helios Civil Works,Helios Logistics Services,Steel,Steel beams,PO200012,2024-04-03,2024-03-17,2024-05-11,264,899.24,237399.36,228765.57,8633.79,3.77,EUR,55,Low,Buyer C
PRJ1710,Office Building F,Heraklion,Atlas Engineering Contractors,Atlas Safety Equipment,Logistics,Crane service,PO200013,2023-03-29,2023-03-14,2023-05-31,454,1303.65,591857.1,521150.74,70706.36,13.57,EUR,78,High,Buyer B
PRJ1548,Office Building F,Thessaloniki,Orion Build Partners,Delta Plumbing Materials,Safety Equipment,Protective gloves,PO200014,2024-01-08,2023-12-14,2024-02-05,137,15.18,2079.66,2023.76,55.9,2.76,EUR,53,Low,Buyer D
PRJ1194,Hotel Renovation C,Thessaloniki,Atlas Engineering Contractors,Omega HVAC Equipment,Safety Equipment,Helmets,PO200015,2023-04-10,2023-03-17,2023-04-20,369,62.99,23243.31,25480.67,-2237.36,-8.78,EUR,34,Low,Buyer B
PRJ1090,Office Building F,Volos,Delta Infrastructure Services,Atlas Safety Equipment,Steel,Metal frames,PO200016,2024-10-25,2024-10-04,2025-01-05,212,814.37,172646.44,152697.32,19949.12,13.06,EUR,93,High,Buyer C
